date,Traffic_Volume
1/1/2024,40734
1/2/2024,40242
1/3/2024,39737
1/4/2024,39888
1/5/2024,40137
1/6/2024,39265
1/7/2024,39633
1/8/2024,40672
1/9/2024,40433
1/10/2024,40962
1/11/2024,39577
1/12/2024,40327
1/13/2024,39763
1/14/2024,39483
1/15/2024,40914
1/16/2024,39800
1/17/2024,40955
1/18/2024,41076
1/19/2024,41166
1/20/2024,40521
1/21/2024,40493
1/22/2024,40217
1/23/2024,40496
1/24/2024,39734
1/25/2024,40849
1/26/2024,39411
1/27/2024,39523
1/28/2024,39726
1/29/2024,39993
1/30/2024,39350
1/31/2024,39851
2/1/2024,40546
2/2/2024,40777
2/3/2024,40010
2/4/2024,40331
2/5/2024,40330
2/6/2024,40068
2/7/2024,39795
2/8/2024,40124
2/9/2024,40100
2/10/2024,39750
2/11/2024,39822
2/12/2024,39963
2/13/2024,41106
2/14/2024,40472
2/15/2024,40588
2/16/2024,40547
2/17/2024,39507
2/18/2024,40394
2/19/2024,39730
2/20/2024,40309
2/21/2024,40603
2/22/2024,40885
2/23/2024,40271
2/24/2024,40238
2/25/2024,39567
2/26/2024,39304
2/27/2024,39824
2/28/2024,39336
2/29/2024,40867
3/1/2024,40947
3/2/2024,39955
3/3/2024,39414
3/4/2024,40019
3/5/2024,41017
3/6/2024,40326
3/7/2024,40544
3/8/2024,41106
3/9/2024,40265
3/10/2024,40247
3/11/2024,39322
3/12/2024,40818
3/13/2024,40916
3/14/2024,39477
3/15/2024,40756
3/16/2024,40540
3/17/2024,40585
3/18/2024,40967
3/19/2024,40489
3/20/2024,40618
3/21/2024,40191
3/22/2024,40034
3/23/2024,41107
3/24/2024,40014
3/25/2024,39454
3/26/2024,39554
3/27/2024,41071
3/28/2024,40349
3/29/2024,40346
3/30/2024,40799
3/31/2024,39381
4/1/2024,40234
4/2/2024,40957
4/3/2024,41011
4/4/2024,39375
4/5/2024,39964
4/6/2024,39365
4/7/2024,41091
4/8/2024,40716
4/9/2024,39717
4/10/2024,39850
4/11/2024,39743
4/12/2024,40023
4/13/2024,39375
4/14/2024,39441
4/15/2024,40538
4/16/2024,40714
4/17/2024,41026
4/18/2024,39428
4/19/2024,40797
4/20/2024,40658
4/21/2024,40951
4/22/2024,39594
4/23/2024,40487
4/24/2024,40496
4/25/2024,40732
4/26/2024,40242
4/27/2024,40602
4/28/2024,40209
4/29/2024,39334
4/30/2024,39732
5/1/2024,40135
5/2/2024,40885
5/3/2024,40154
5/4/2024,40797
5/5/2024,40864
5/6/2024,39613
5/7/2024,39332
5/8/2024,39926
5/9/2024,39699
5/10/2024,39487
5/11/2024,39931
5/12/2024,39335
5/13/2024,40643
5/14/2024,39192
5/15/2024,39554
5/16/2024,40622
5/17/2024,39360
5/18/2024,39587
5/19/2024,39431
5/20/2024,41152
5/21/2024,40500
5/22/2024,39817
5/23/2024,39466
5/24/2024,39334
5/25/2024,40580
5/26/2024,40428
5/27/2024,40021
5/28/2024,39953
5/29/2024,40651
5/30/2024,40765
5/31/2024,39194
